CO_CADERNO;DS_VT_GAB_OBJ.1;DS_VT_GAB_OBJ.2;DS_VT_GAB_OBJ.3;DS_VT_GAB_OBJ.4;DS_VT_GAB_OBJ.5;DS_VT_GAB_OBJ.6;DS_VT_GAB_OBJ.7;DS_VT_GAB_OBJ.8;DS_VT_GAB_OBJ.9;DS_VT_GAB_OBJ.10;DS_VT_GAB_OBJ.11;DS_VT_GAB_OBJ.12;DS_VT_GAB_OBJ.13;DS_VT_GAB_OBJ.14;DS_VT_GAB_OBJ.15;DS_VT_GAB_OBJ.16;DS_VT_GAB_OBJ.17;DS_VT_GAB_OBJ.18;DS_VT_GAB_OBJ.19;DS_VT_GAB_OBJ.20;DS_VT_GAB_OBJ.21;DS_VT_GAB_OBJ.22;DS_VT_GAB_OBJ.23;DS_VT_GAB_OBJ.24;DS_VT_GAB_OBJ.25;DS_VT_GAB_OBJ.26;DS_VT_GAB_OBJ.27;DS_VT_GAB_OBJ.28;DS_VT_GAB_OBJ.29;DS_VT_GAB_OBJ.30;DS_VT_GAB_OBJ.31;DS_VT_GAB_OBJ.32;DS_VT_GAB_OBJ.33;DS_VT_GAB_OBJ.34;DS_VT_GAB_OBJ.35;DS_VT_GAB_OBJ.36;DS_VT_GAB_OBJ.37;DS_VT_GAB_OBJ.38;DS_VT_GAB_OBJ.39;DS_VT_GAB_OBJ.40;DS_VT_GAB_OBJ.41;DS_VT_GAB_OBJ.42;DS_VT_GAB_OBJ.43;DS_VT_GAB_OBJ.44;DS_VT_GAB_OBJ.45;DS_VT_GAB_OBJ.46;DS_VT_GAB_OBJ.47;DS_VT_GAB_OBJ.48;DS_VT_GAB_OBJ.49;DS_VT_GAB_OBJ.50;DS_VT_GAB_OBJ.51;DS_VT_GAB_OBJ.52;DS_VT_GAB_OBJ.53;DS_VT_GAB_OBJ.54;DS_VT_GAB_OBJ.55;DS_VT_GAB_OBJ.56;DS_VT_GAB_OBJ.57;DS_VT_GAB_OBJ.58;DS_VT_GAB_OBJ.59;DS_VT_GAB_OBJ.60;DS_VT_GAB_OBJ.61;DS_VT_GAB_OBJ.62;DS_VT_GAB_OBJ.63;DS_VT_GAB_OBJ.64;DS_VT_GAB_OBJ.65;DS_VT_GAB_OBJ.66;DS_VT_GAB_OBJ.67;DS_VT_GAB_OBJ.68;DS_VT_GAB_OBJ.69;DS_VT_GAB_OBJ.70;DS_VT_GAB_OBJ.71;DS_VT_GAB_OBJ.72;DS_VT_GAB_OBJ.73;DS_VT_GAB_OBJ.74;DS_VT_GAB_OBJ.75;DS_VT_GAB_OBJ.76;DS_VT_GAB_OBJ.77;DS_VT_GAB_OBJ.78;DS_VT_GAB_OBJ.79;DS_VT_GAB_OBJ.80;DS_VT_GAB_OBJ.81;DS_VT_GAB_OBJ.82;DS_VT_GAB_OBJ.83;DS_VT_GAB_OBJ.84;DS_VT_GAB_OBJ.85;DS_VT_GAB_OBJ.86;DS_VT_GAB_OBJ.87;DS_VT_GAB_OBJ.88;DS_VT_GAB_OBJ.89;DS_VT_GAB_OBJ.90;DS_VT_GAB_OBJ.91;DS_VT_GAB_OBJ.92;DS_VT_GAB_OBJ.93;DS_VT_GAB_OBJ.94;DS_VT_GAB_OBJ.95;DS_VT_GAB_OBJ.96;DS_VT_GAB_OBJ.97;DS_VT_GAB_OBJ.98;DS_VT_GAB_OBJ.99;DS_VT_GAB_OBJ.100
1;A;B;A;D;C;B;6;B;6;6;6;D;C;B;A;B;D;D;D;C;A;A;B;D;A;C;D;B;A;C;B;D;C;B;D;C;D;D;D;B;C;D;6;B;B;C;C;D;B;C;C;A;C;C;A;D;D;A;B;C;A;B;B;D;A;A;C;B;C;B;B;A;C;A;A;6;B;D;B;A;D;D;B;C;B;D;B;A;A;C;B;A;C;A;B;D;C;C;A;6
2;6;A;C;C;D;B;A;C;A;B;C;A;A;B;D;B;C;B;D;D;A;B;D;B;6;A;A;C;A;B;B;C;B;C;A;A;D;B;B;A;C;B;A;D;D;A;C;C;A;C;A;B;A;D;C;B;6;B;6;6;6;D;C;B;A;B;D;D;D;C;A;A;B;D;A;C;D;B;A;C;B;D;C;B;D;C;D;D;D;B;C;D;6;B;B;C;C;D;B;C
